County,County code,Year,Fuel type,Region,Count
Ekerö,125,1/1/2016,NG,Stockholms län,0
Ekerö,125,1/1/2016,Plug-in hybrids,Stockholms län,16
Ekerö,125,1/1/2017,Diesel,Stockholms län,188
Ekerö,125,1/1/2017,Electric hybrids,Stockholms län,28
Ekerö,125,1/1/2017,Electricty,Stockholms län,21
Ekerö,125,1/1/2017,Ethanol,Stockholms län,1
Ekerö,125,1/1/2017,Gas,Stockholms län,267
Ekerö,125,1/1/2017,NG,Stockholms län,0
Ekerö,125,1/1/2017,Plug-in hybrids,Stockholms län,10
Ekerö,125,1/1/2018,Diesel,Stockholms län,112
Ekerö,125,1/1/2018,Electric hybrids,Stockholms län,54
Ekerö,125,1/1/2018,Electricty,Stockholms län,29
Ekerö,125,1/1/2018,Ethanol,Stockholms län,0
Ekerö,125,1/1/2018,Gas,Stockholms län,310
Ekerö,125,1/1/2018,NG,Stockholms län,1
Ekerö,125,1/1/2018,Plug-in hybrids,Stockholms län,28
Ekerö,125,1/1/2019,Diesel,Stockholms län,119
Ekerö,125,1/1/2019,Electric hybrids,Stockholms län,59
Ekerö,125,1/1/2019,Electricty,Stockholms län,73
Ekerö,125,1/1/2019,Ethanol,Stockholms län,0
Ekerö,125,1/1/2019,Gas,Stockholms län,323
Ekerö,125,1/1/2019,NG,Stockholms län,4
Ekerö,125,1/1/2019,Plug-in hybrids,Stockholms län,50
Ekerö,125,1/1/2020,Diesel,Stockholms län,76
Ekerö,125,1/1/2020,Electric hybrids,Stockholms län,39
Ekerö,125,1/1/2020,Electricty,Stockholms län,101
Ekerö,125,1/1/2020,Ethanol,Stockholms län,0
Ekerö,125,1/1/2020,Gas,Stockholms län,225
Ekerö,125,1/1/2020,NG,Stockholms län,1
Ekerö,125,1/1/2020,Plug-in hybrids,Stockholms län,97
Ekerö,125,1/1/2021,Diesel,Stockholms län,54
Ekerö,125,1/1/2021,Electric hybrids,Stockholms län,42
Ekerö,125,1/1/2021,Electricty,Stockholms län,201
Ekerö,125,1/1/2021,Ethanol,Stockholms län,2
Ekerö,125,1/1/2021,Gas,Stockholms län,191
Ekerö,125,1/1/2021,NG,Stockholms län,0
Ekerö,125,1/1/2021,Plug-in hybrids,Stockholms län,121
Huddinge,126,1/1/2013,Diesel,Stockholms län,1186
Huddinge,126,1/1/2013,Electric hybrids,Stockholms län,111
Huddinge,126,1/1/2013,Electricty,Stockholms län,14
Huddinge,126,1/1/2013,Ethanol,Stockholms län,10
Huddinge,126,1/1/2013,Gas,Stockholms län,1115
Huddinge,126,1/1/2013,NG,Stockholms län,46
Huddinge,126,1/1/2013,Plug-in hybrids,Stockholms län,20
Huddinge,126,1/1/2014,Diesel,Stockholms län,1177
Huddinge,126,1/1/2014,Electric hybrids,Stockholms län,248
Huddinge,126,1/1/2014,Electricty,Stockholms län,13
Huddinge,126,1/1/2014,Ethanol,Stockholms län,8
Huddinge,126,1/1/2014,Gas,Stockholms län,1108
Huddinge,126,1/1/2014,NG,Stockholms län,169
Huddinge,126,1/1/2014,Plug-in hybrids,Stockholms län,54
Huddinge,126,1/1/2015,Diesel,Stockholms län,1415
Huddinge,126,1/1/2015,Electric hybrids,Stockholms län,452
Huddinge,126,1/1/2015,Electricty,Stockholms län,24
Huddinge,126,1/1/2015,Ethanol,Stockholms län,2
Huddinge,126,1/1/2015,Gas,Stockholms län,1430
Huddinge,126,1/1/2015,NG,Stockholms län,75
Huddinge,126,1/1/2015,Plug-in hybrids,Stockholms län,95
Huddinge,126,1/1/2016,Diesel,Stockholms län,1427
Huddinge,126,1/1/2016,Electric hybrids,Stockholms län,443
Huddinge,126,1/1/2016,Electricty,Stockholms län,17
Huddinge,126,1/1/2016,Ethanol,Stockholms län,4
Huddinge,126,1/1/2016,Gas,Stockholms län,1686
Huddinge,126,1/1/2016,NG,Stockholms län,30
Huddinge,126,1/1/2016,Plug-in hybrids,Stockholms län,130
Huddinge,126,1/1/2017,Diesel,Stockholms län,1937
Huddinge,126,1/1/2017,Electric hybrids,Stockholms län,287
Huddinge,126,1/1/2017,Electricty,Stockholms län,31
Huddinge,126,1/1/2017,Ethanol,Stockholms län,0
Huddinge,126,1/1/2017,Gas,Stockholms län,1694
Huddinge,126,1/1/2017,NG,Stockholms län,36
Huddinge,126,1/1/2017,Plug-in hybrids,Stockholms län,360
Huddinge,126,1/1/2018,Diesel,Stockholms län,1323
Huddinge,126,1/1/2018,Electric hybrids,Stockholms län,319
Huddinge,126,1/1/2018,Electricty,Stockholms län,39
