County,County code,Date,Fuel type,Region,Count,County Latitude,County Longitude,Region Longitude,Region Latitude
Vallentuna,115,1/1/2020,Electricty,Stockholms län,113,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2020,Ethanol,Stockholms län,0,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2020,Gas,Stockholms län,326,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2020,NG,Stockholms län,2,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2020,Plug-in hybrids,Stockholms län,131,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2021,Diesel,Stockholms län,86,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2021,Electric hybrids,Stockholms län,70,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2021,Electricty,Stockholms län,232,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2021,Ethanol,Stockholms län,6,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2021,Gas,Stockholms län,209,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2021,NG,Stockholms län,2,59.59146,18.21,59.5,18.0
Vallentuna,115,1/1/2021,Plug-in hybrids,Stockholms län,179,59.59146,18.21,59.5,18.0
Österåker,117,1/1/2013,Diesel,Stockholms län,422,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2013,Electric hybrids,Stockholms län,50,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2013,Electricty,Stockholms län,2,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2013,Ethanol,Stockholms län,5,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2013,Gas,Stockholms län,499,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2013,NG,Stockholms län,5,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2013,Plug-in hybrids,Stockholms län,1,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2014,Diesel,Stockholms län,483,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2014,Electric hybrids,Stockholms län,76,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2014,Electricty,Stockholms län,5,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2014,Ethanol,Stockholms län,3,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2014,Gas,Stockholms län,531,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2014,NG,Stockholms län,3,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2014,Plug-in hybrids,Stockholms län,6,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2015,Diesel,Stockholms län,538,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2015,Electric hybrids,Stockholms län,83,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2015,Electricty,Stockholms län,19,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2015,Ethanol,Stockholms län,2,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2015,Gas,Stockholms län,624,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2015,NG,Stockholms län,9,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2015,Plug-in hybrids,Stockholms län,12,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2016,Diesel,Stockholms län,548,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2016,Electric hybrids,Stockholms län,109,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2016,Electricty,Stockholms län,18,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2016,Ethanol,Stockholms län,1,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2016,Gas,Stockholms län,690,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2016,NG,Stockholms län,3,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2016,Plug-in hybrids,Stockholms län,23,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2017,Diesel,Stockholms län,516,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2017,Electric hybrids,Stockholms län,165,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2017,Electricty,Stockholms län,26,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2017,Ethanol,Stockholms län,0,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2017,Gas,Stockholms län,674,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2017,NG,Stockholms län,4,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2017,Plug-in hybrids,Stockholms län,41,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2018,Diesel,Stockholms län,361,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2018,Electric hybrids,Stockholms län,177,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2018,Electricty,Stockholms län,31,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2018,Ethanol,Stockholms län,0,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2018,Gas,Stockholms län,831,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2018,NG,Stockholms län,2,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2018,Plug-in hybrids,Stockholms län,63,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2019,Diesel,Stockholms län,279,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2019,Electric hybrids,Stockholms län,217,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2019,Electricty,Stockholms län,104,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2019,Ethanol,Stockholms län,0,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2019,Gas,Stockholms län,865,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2019,NG,Stockholms län,1,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2019,Plug-in hybrids,Stockholms län,70,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2020,Diesel,Stockholms län,178,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2020,Electric hybrids,Stockholms län,196,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2020,Electricty,Stockholms län,144,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2020,Ethanol,Stockholms län,0,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2020,Gas,Stockholms län,580,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2020,NG,Stockholms län,2,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2020,Plug-in hybrids,Stockholms län,262,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2021,Diesel,Stockholms län,151,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2021,Electric hybrids,Stockholms län,196,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2021,Electricty,Stockholms län,361,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2021,Ethanol,Stockholms län,3,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2021,Gas,Stockholms län,509,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2021,NG,Stockholms län,0,59.48345,18.29979,59.5,18.0
Österåker,117,1/1/2021,Plug-in hybrids,Stockholms län,331,59.48345,18.29979,59.5,18.0
Värmdö,120,1/1/2013,Diesel,Stockholms län,342,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2013,Electric hybrids,Stockholms län,28,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2013,Electricty,Stockholms län,4,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2013,Ethanol,Stockholms län,2,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2013,Gas,Stockholms län,420,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2013,NG,Stockholms län,4,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2013,Plug-in hybrids,Stockholms län,3,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2014,Diesel,Stockholms län,337,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2014,Electric hybrids,Stockholms län,25,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2014,Electricty,Stockholms län,9,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2014,Ethanol,Stockholms län,0,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2014,Gas,Stockholms län,409,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2014,NG,Stockholms län,7,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2014,Plug-in hybrids,Stockholms län,6,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2015,Diesel,Stockholms län,439,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2015,Electric hybrids,Stockholms län,27,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2015,Electricty,Stockholms län,19,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2015,Ethanol,Stockholms län,1,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2015,Gas,Stockholms län,525,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2015,NG,Stockholms län,3,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2015,Plug-in hybrids,Stockholms län,5,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2016,Diesel,Stockholms län,456,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2016,Electric hybrids,Stockholms län,60,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2016,Electricty,Stockholms län,13,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2016,Ethanol,Stockholms län,0,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2016,Gas,Stockholms län,614,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2016,NG,Stockholms län,3,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2016,Plug-in hybrids,Stockholms län,14,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2017,Diesel,Stockholms län,395,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2017,Electric hybrids,Stockholms län,79,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2017,Electricty,Stockholms län,17,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2017,Ethanol,Stockholms län,1,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2017,Gas,Stockholms län,694,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2017,NG,Stockholms län,2,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2017,Plug-in hybrids,Stockholms län,17,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2018,Diesel,Stockholms län,259,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2018,Electric hybrids,Stockholms län,81,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2018,Electricty,Stockholms län,26,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2018,Ethanol,Stockholms län,0,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2018,Gas,Stockholms län,780,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2018,NG,Stockholms län,0,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2018,Plug-in hybrids,Stockholms län,67,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2019,Diesel,Stockholms län,246,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2019,Electric hybrids,Stockholms län,144,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2019,Electricty,Stockholms län,84,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2019,Ethanol,Stockholms län,2,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2019,Gas,Stockholms län,625,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2019,NG,Stockholms län,1,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2019,Plug-in hybrids,Stockholms län,72,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2020,Diesel,Stockholms län,129,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2020,Electric hybrids,Stockholms län,74,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2020,Electricty,Stockholms län,145,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2020,Ethanol,Stockholms län,0,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2020,Gas,Stockholms län,437,59.31614,18.70414,59.5,18.0
Värmdö,120,1/1/2020,NG,Stockholms län,0,59.31614,18.70414,59.5,18.0
